2,87000,103100,107200
3,67800,65800,79500
4,65800,82500,76500
5,70500,123500,85700
6,77700,90100,79500
7,87900,124000,84700
8,118800,121700,138700
9,109400,100600,138500
10,190500,122900,132500
11,121500,114300,122800
12,97300,136000,164100
13,127300,129700,263700
14,92200,114900,164600
15,118800,124200,158200
16,118300,122500,198900
17,119400,123700,246900
18,127800,132300,349600
19,142100,110800,304700
20,173800,132900,278700
21,109500,97700,125400
22,136300,262900,283000
23,126300,154700,232000
24,121800,187300,211800
25,333600,181300,225100
26,141000,167600,227200
27,132900,161200,286200
28,87400,112500,273200
29,100200,115600,344000
30,113700,135400,407500
31,100500,200500,555400
32,202500,220100,616600
33,138600,101800,710100
34,161000,128400,952900
35,99600,79600,1284600
36,91100,87400,1384800
37,113200,131700,1849900
38,111500,113700,2406200
39,172400,155000,3467100
40,141600,163400,3904300
41,179800,188400,5602700
42,119300,87000,8424400
43,144600,130400,1841800
44,182600,160800,2294400
45,115600,109300,7581100
46,265200,160300,8383400
47,112000,106700,5665300
48,74100,64200,7928800
49,105800,142500,18820500
50,144000,210000,24164400
51,142100,228500,21146200
52,95000,110200,16918500
53,124300,132400,22787000
54,114300,108300,25904600
55,113200,84200,35188600
56,181500,145500,60142500
57,142300,187000,60690600
58,162500,159800,89405900
59,126500,116800,116338400
60,100600,91300,120159800
61,129100,111400,169227500
62,134600,98500,186672100
63,155100,125000,234525900
64,102900,96900,300127800
65,154100,164300,389510400
66,118100,205700,520508800
67,112000,146900,718121500
68,126700,115300,826373700
69,105600,99600,1071247100
70,128200,120400,1372442900
71,123300,87700,1814184200
72,112400,122400,2272169700
73,120800,133100,2953568300
74,126000,135300,3742763600
75,409800,205900,4746921600
76,131200,123600,6100109100
77,140100,135000,7820445600
78,132700,106200,10504515100
79,113300,84600,13304979600
80,148000,117100,17018059100
81,122300,118700,21495720400
82,158500,187700,27701807800
83,189600,148300,35498658300
84,116800,68900,45638394000
85,143600,109600,61162556500
86,110700,88300,76013624600
